rank,player,season,games_played,tgt,incompletion_rate,int_rate,target_rate,yds_per_tgt,avg_rat,pca_score
26,Amani Oruwariye,2021,14,77,0.3116883116883117,0.07792207792207792,0.08208955223880597,8.714285714285714,84.2,-0.015936064678699992
27,Casey Hayward,2021,16,56,0.4107142857142857,0.017857142857142856,0.04856895056374675,7.625,82.19375,-0.02866826713040569
28,Jalen Mills,2021,14,65,0.4307692307692308,0.0,0.07454128440366972,6.246153846153846,91.31428571428572,-0.033744066130843776
29,Marshon Lattimore,2021,16,106,0.39622641509433965,0.02830188679245283,0.1062124248496994,7.7924528301886795,86.75625,-0.11024559300564606
30,Brandin Echols,2021,14,75,0.36,0.02666666666666667,0.09868421052631579,7.986666666666666,83.66428571428571,-0.2822774422733828
31,James Bradberry,2021,17,115,0.34782608695652173,0.034782608695652174,0.0992234685073339,7.373913043478261,88.82941176470588,-0.2830463711311286
32,Chris Harris Jr.,2021,14,55,0.38181818181818183,0.01818181818181818,0.07343124165554073,7.381818181818182,86.91428571428571,-0.3177101624654606
33,Paulson Adebo,2021,17,89,0.34831460674157305,0.033707865168539325,0.11223203026481715,8.03370786516854,86.46470588235294,-0.37717560969162467
34,Eli Apple,2021,16,78,0.3717948717948718,0.02564102564102564,0.06280193236714976,7.717948717948718,86.49375,-0.3898378115102297
35,Byron Murphy,2021,16,98,0.30612244897959184,0.04081632653061224,0.09542356377799416,7.459183673469388,87.34375,-0.40353202104244756
36,K'Waun Williams,2021,14,49,0.20408163265306123,0.02040816326530612,0.059178743961352656,6.408163265306122,79.52857142857144,-0.5713651395479543
37,L'Jarius Sneed,2021,15,80,0.2875,0.025,0.07187780772686433,7.3125,85.26428571428572,-0.6821119798623556
38,Chandon Sullivan,2021,17,67,0.29850746268656714,0.04477611940298507,0.07938388625592417,8.35820895522388,86.28823529411765,-0.694895321056402
39,Jackrabbit Jenkins,2021,14,90,0.37777777777777777,0.011111111111111112,0.0972972972972973,7.1,94.30714285714285,-0.7126481749627653
40,Darious Williams,2021,14,92,0.3804347826086957,0.0,0.07896995708154507,6.630434782608695,94.2,-0.7139150314376705
41,Terrance Mitchell,2021,13,76,0.39473684210526316,0.013157894736842105,0.09547738693467336,7.315789473684211,95.15833333333335,-0.7158316712032697
42,Xavier Rhodes,2021,13,61,0.3770491803278688,0.01639344262295082,0.09561128526645768,8.360655737704919,88.0,-0.7429285859104842
43,Kendall Fuller,2021,16,113,0.3185840707964602,0.008849557522123894,0.11254980079681275,7.123893805309734,89.94375,-0.8447747368657577
