,player_x,total_targets,incompletion_rate,int_rate,target_rate,avg_passer_rating,wcs,label
33,Jamel Dean,121,0.38016528925619836,0.01652892561983471,0.02935468219311014,98.5,-5.670908766476217,0.15
34,Shaquill Griffin,89,0.39325842696629215,0.02247191011235955,0.028980788016932595,93.1,-5.747690382748697,0.3
35,Benjamin St-Juste,171,0.42105263157894735,0.005847953216374269,0.05997895475271835,87.19999999999999,-5.9211421458759315,0.35
36,Alontae Taylor,168,0.42857142857142855,0.011904761904761904,0.06292134831460675,74.1,-6.004477076702292,0.35
37,Eli Apple,150,0.3933333333333333,0.006666666666666667,0.04937458854509546,78.73333333333333,-6.151715553797718,0.15
38,Michael Jackson,123,0.3902439024390244,0.008130081300813009,0.04311251314405889,85.1,-6.223606223627479,0.15
39,Mike Hilton,199,0.33668341708542715,0.020100502512562814,0.04973756560859785,79.10000000000001,-6.242985207171812,0.3
40,Keisean Nixon,110,0.22727272727272727,0.01818181818181818,0.04337539432176656,95.25,-6.311014068683268,0.3
41,Fabian Moreau,70,0.34285714285714286,0.014285714285714285,0.024238227146814405,108.85,-6.447476978463567,0.3
42,Tyson Campbell,145,0.36551724137931035,0.027586206896551724,0.04148783977110158,103.25,-6.635452278563429,0.15
43,Kendall Fuller,154,0.34415584415584416,0.032467532467532464,0.03363914373088685,103.75,-6.727233487698248,0.35
44,Taron Johnson,235,0.3148936170212766,0.01276595744680851,0.04802779480891069,90.83333333333333,-6.875336404717978,0.35
45,Chandon Sullivan,100,0.31,0.01,0.03244646333549643,81.05,-6.9952949273696206,0.1
46,Kader Kohou,267,0.31086142322097376,0.011235955056179775,0.106629392971246,97.33333333333333,-6.998615501270136,0.2
47,Trevon Diggs,94,0.3404255319148936,0.0425531914893617,0.02529601722282024,45.349999999999994,-7.241999535425175,0.55
48,Troy Hill,128,0.2890625,0.015625,0.04163955757970072,106.33333333333333,-7.2703587480515806,0.25
49,Dane Jackson,163,0.32515337423312884,0.018404907975460124,0.063721657544957,102.89999999999999,-7.3396736774762985,0.4
50,Nate Hobbs,211,0.2843601895734597,0.009478672985781991,0.07288428324697754,101.53333333333335,-7.37648357561158,0.25
51,Jourdan Lewis,97,0.32989690721649484,0.020618556701030927,0.026780784097183877,84.05000000000001,-7.557616373687231,0.3
52,Sean Murphy-Bunting,99,0.32323232323232326,0.050505050505050504,0.027591973244147156,71.85,-7.649007171918686,0.35
53,Steven Nelson,70,0.32857142857142857,0.05714285714285714,0.017352503718393655,73.3,-7.695994912054366,0.35
54,Kenny Moore,128,0.25,0.0234375,0.026364572605561278,107.15,-7.854031028630286,0.2
55,Amani Oruwariye,82,0.3048780487804878,0.012195121951219513,0.030047636496885306,112.75,-7.921209178754313,0.2
56,Ahkello Witherspoon,78,0.28205128205128205,0.02564102564102564,0.028878193261754906,111.5,-7.965384024270212,0.2
57,Rasul Douglas,84,0.30952380952380953,0.047619047619047616,0.020786933927245732,88.5,-8.113205043958722,0.25
